iter	Passed	Remaining
0	0	72
1	1	64
2	1	60
3	2	53
4	2	52
5	3	50
6	3	49
7	4	48
8	4	48
9	5	47
10	5	46
11	6	45
12	6	44
13	7	43
14	7	42
15	7	41
16	8	40
17	8	39
18	9	38
19	9	37
20	9	36
21	10	36
22	10	35
23	10	34
24	11	34
25	11	33
26	12	32
27	12	32
28	13	31
29	13	31
30	13	30
31	14	30
32	14	29
33	15	29
34	15	28
35	15	28
36	16	27
37	16	27
38	17	26
39	17	26
40	17	25
41	18	24
42	18	24
43	18	24
44	19	23
45	19	23
46	20	22
47	20	22
48	20	21
49	21	21
50	21	20
51	22	20
52	22	20
53	23	19
54	23	19
55	24	18
56	24	18
57	24	18
58	25	17
59	25	17
60	26	16
61	26	16
62	26	15
63	27	15
64	27	14
65	28	14
66	28	14
67	28	13
68	29	13
69	29	12
70	30	12
71	30	11
72	30	11
73	31	10
74	31	10
75	32	10
76	32	9
77	32	9
78	33	8
79	33	8
80	34	7
81	34	7
82	34	7
83	35	6
84	35	6
85	35	5
86	36	5
87	37	5
88	37	4
89	38	4
90	38	3
91	38	3
92	39	2
93	39	2
94	40	2
95	40	1
96	40	1
97	41	0
98	41	0
99	42	0
