iter	Passed	Remaining
0	139	139414
1	140	69968
2	140	46786
3	141	35176
4	141	28214
5	142	23556
6	142	20245
7	143	17770
8	143	15829
9	144	14301
10	145	13056
11	145	12000
12	146	11097
13	146	10324
14	147	9659
15	147	9070
16	147	8551
17	148	8089
18	148	7677
19	149	7305
20	149	6969
21	149	6665
22	150	6387
23	150	6135
24	151	5901
25	151	5686
26	152	5504
27	153	5325
28	153	5151
29	154	4988
30	154	4837
31	155	4698
32	155	4565
33	156	4438
34	156	4318
35	157	4204
36	157	4098
37	157	3996
38	158	3902
39	158	3810
40	159	3722
41	159	3640
42	159	3560
43	160	3484
44	160	3412
45	161	3345
46	161	3278
47	162	3217
48	162	3157
49	163	3102
50	163	3046
51	164	2991
52	164	2939
53	164	2888
54	165	2840
55	165	2792
56	166	2749
57	166	2705
58	167	2665
59	167	2625
60	168	2588
61	169	2558
62	169	2522
63	170	2488
64	170	2456
65	171	2422
66	171	2389
67	171	2357
68	172	2326
69	172	2295
70	173	2266
71	173	2238
72	174	2210
73	174	2183
74	174	2156
75	175	2131
76	175	2105
77	176	2081
78	176	2057
79	176	2033
80	177	2010
81	177	1988
82	177	1964
83	178	1943
84	178	1922
85	179	1902
86	179	1884
87	179	1864
88	180	1846
89	180	1828
90	181	1810
91	181	1792
92	182	1775
93	182	1758
94	182	1742
95	183	1726
96	183	1710
97	184	1694
98	184	1679
99	184	1664
100	185	1650
101	185	1635
102	186	1621
103	186	1607
104	187	1594
105	187	1580
106	187	1567
107	188	1555
108	188	1543
109	189	1530
110	189	1518
111	190	1506
112	190	1495
113	190	1483
114	191	1471
115	191	1460
116	191	1448
117	192	1437
118	192	1426
119	193	1416
120	193	1405
121	193	1394
122	194	1384
123	194	1374
124	194	1364
125	195	1355
126	195	1345
127	196	1336
128	196	1327
129	196	1318
130	197	1309
131	197	1300
132	198	1292
133	198	1283
134	199	1275
135	199	1267
136	199	1259
137	200	1251
138	200	1243
139	201	1235
140	201	1227
141	201	1218
142	202	1211
143	202	1203
144	202	1196
145	203	1189
146	203	1182
147	204	1175
148	204	1168
149	205	1161
150	205	1154
151	205	1148
152	206	1141
153	206	1134
154	206	1128
155	207	1122
156	207	1115
157	208	1109
158	208	1104
159	209	1098
160	209	1092
161	210	1086
162	210	1080
163	210	1075
164	211	1069
165	211	1064
166	212	1059
167	212	1053
168	213	1048
169	213	1042
170	213	1037
171	214	1032
172	214	1027
173	215	1021
174	215	1016
175	216	1011
176	216	1006
177	216	1001
178	217	996
179	217	992
180	218	987
181	218	982
182	219	977
183	219	973
184	219	968
185	220	963
186	220	959
187	220	954
188	221	949
189	221	945
190	222	941
191	222	936
192	223	932
193	223	928
194	223	924
195	224	919
196	224	915
197	225	911
198	225	907
199	225	903
200	226	899
201	226	895
202	227	891
203	227	887
204	227	884
205	228	880
206	228	876
207	229	872
208	229	868
209	229	865
210	230	861
211	230	857
212	231	854
213	231	850
214	232	847
215	232	843
216	232	840
217	233	836
218	233	833
219	233	829
220	234	826
221	234	822
222	235	819
223	235	816
224	236	813
225	236	810
226	236	807
227	237	804
228	237	800
229	238	797
230	238	794
231	239	791
232	239	788
233	239	785
234	240	782
235	240	779
236	241	776
237	241	773
238	242	770
239	242	767
240	242	765
241	243	762
242	243	759
243	244	756
244	244	754
245	245	751
246	245	748
247	246	746
248	246	743
249	247	741
250	247	738
251	247	735
252	248	732
253	248	730
254	249	727
255	249	724
256	249	722
257	250	720
258	250	717
259	251	715
260	251	713
261	252	711
262	253	709
263	253	707
264	254	705
265	254	703
266	255	701
267	256	699
268	256	696
269	256	694
270	257	692
271	257	689
272	258	687
273	258	685
274	259	683
275	259	681
276	260	679
277	260	676
278	261	674
279	261	672
280	262	670
281	262	668
282	262	666
283	263	664
284	263	661
285	264	659
286	264	657
287	265	655
288	265	653
289	265	651
290	266	649
291	266	646
292	267	644
293	267	642
294	267	640
295	268	638
296	268	636
297	269	634
298	269	632
299	270	630
300	270	628
301	270	626
302	271	624
303	271	622
304	272	620
305	273	620
306	275	622
307	276	620
308	276	618
309	276	616
310	277	614
311	277	612
312	278	610
313	278	608
314	278	606
315	279	604
316	280	603
317	280	601
318	280	599
319	281	598
320	281	596
321	282	594
322	282	592
323	283	590
324	283	589
325	284	587
326	284	585
327	284	583
328	285	581
329	285	579
